R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,QOP,COBBETT HOUSE,OXFORD ROAD,,MANCHESTER,,M13 9WL,20171001,,,,,,,,,,,0,,B
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,QHM,SUNDERLAND ROYAL HOSPITAL,KAYLL ROAD,,SUNDERLAND,,SR4 7TP,20190401,,,,,,,,,,,0,,A
R0C,PROJECT NIGHTINGALE NHS TRUST,Y56,Q71,ROYAL VICTORIA DOCK,1 WESTERN GATEWAY,,LONDON,,E16 1XL,20200301,20200326,,,,,,,,,,0,,H
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Y60,QGH,UNIT 2 KINGS COURT,CHARLES HASTINGS WAY,,WORCESTER,,WR5 1JR,20110701,,,,,,,,,,,0,,F
R1C,SOLENT NHS TRUST,Y59,QRL,SOLENT NHS TRUST HEADQUARTERS,HIGHPOINT VENUE,BURSLEDON ROAD,SOUTHAMPTON,,SO19 8BR,20110401,,,,,,,,,,,0,,J
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Y60,QOC,WILLIAM FARR HOUSE,MYTTON OAK ROAD,,SHREWSBURY,,SY3 8XL,20110701,,,,,,,,,,,0,,F
R1F,ISLE OF WIGHT NHS TRUST,Y59,QRL,ST MARYS HOSPITAL,PARKHURST ROAD,,NEWPORT,,PO30 5TG,20120401,,,,,,,,,,,0,,J
R1H,BARTS HEALTH NHS TRUST,Y56,QMF,THE ROYAL LONDON HOSPITAL,80 NEWARK STREET,,LONDON,,E1 2ES,20120401,,,,,,,,,,,0,,H
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,Y58,Q86,EDWARD JENNER COURT,1010 PIONEER AVENUE,"GLOUCESTER BUSINESS PK, BROCKWORTH",GLOUCESTER,GLOUCESTERSHIRE,GL3 4AW,20130322,20190930,,,,,,,,,,0,,K
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Y56,QRV,NORTHWICK PARK HOSPITAL,WATFORD ROAD,,HARROW,,HA1 3UJ,20141001,,,,,,,,,,,0,,H
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,QH8,THE LODGE,LODGE APPROACH,RUNWELL,WICKFORD,,SS11 7XX,20170401,,,,,,,,,,,0,,G
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Y59,QXU,EGERTON ROAD,,,GUILDFORD,,GU2 7XX,19910401,,,,,,,,,,,0,,J
RA3,WESTON AREA HEALTH NHS TRUST,Y58,QUY,WESTON GENERAL HOSPITAL,GRANGE ROAD,UPHILL,WESTON-SUPER-MARE,,BS23 4TQ,19910401,,,,,,,,,,,0,,K
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,Y58,QSL,YEOVIL DISTRICT HOSPITAL,HIGHER KINGSTON,,YEOVIL,,BA21 4AT,19910401,,,,,,,,,,,0,,K
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Y58,QUY,TRUST HEADQUARTERS,MARLBOROUGH STREET,,BRISTOL,,BS1 3NU,19910401,,,,,,,,,,,0,,K
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Y58,QJK,TORBAY HOSPITAL,NEWTON ROAD,,TORQUAY,,TQ2 7AA,19910401,,,,,,,,,,,0,,K
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,QWO,BRADFORD ROYAL INFIRMARY,DUCKWORTH LANE,,BRADFORD,,BD9 6RJ,19910401,,,,,,,,,,,0,,D
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Y61,QH8,PRITTLEWELL CHASE,,,WESTCLIFF-ON-SEA,,SS0 0RY,19910401,,,,,,,,,,,1,,G
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Y56,QMJ,ROYAL FREE HOSPITAL,POND STREET,,LONDON,,NW3 2QG,19910401,,,,,,,,,,,0,,H
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,Y56,QRV,BROCKLEY HILL,,,STANMORE,,HA7 4LP,19910401,,,,,,,,,,,0,,H
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Y56,QMJ,NORTH MIDDLESEX HOSPITAL,STERLING WAY,,LONDON,,N18 1QX,19910401,,,,,,,,,,,0,,H
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Y56,QRV,PIELD HEATH ROAD,,,UXBRIDGE,,UB8 3NN,19910401,,,,,,,,,,,0,,H
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Y56,QMF,WEST WING,C E M E CENTRE,MARSH WAY,RAINHAM,,RM13 8GQ,20010401,,,,,,,,,,,0,,H
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Y56,QWE,GALSWORTHY ROAD,,,KINGSTON UPON THAMES,,KT2 7QB,19910401,,,,,,,,,,,0,,H
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,Y58,QSL,MUSGROVE PARK HOSPITAL,,,TAUNTON,,TA1 5DA,19910401,,,,,,,,,,,0,,K
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Y58,QVV,DORSET COUNTY HOSPITAL,WILLIAMS AVENUE,,DORCHESTER,,DT1 2JY,19910401,,,,,,,,,,,0,,K
RBK,WALSALL HEALTHCARE NHS TRUST,Y60,QUA,MANOR HOSPITAL,MOAT ROAD,,WALSALL,,WS2 9PS,19910401,,,,,,,,,,,0,,F
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Y62,QYG,ARROWE PARK HOSPITAL,ARROWE PARK ROAD,UPTON,WIRRAL,,CH49 5PE,19910401,,,,,,,,,,,0,,B
RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,Y62,QYG,WHISTON HOSPITAL,WARRINGTON ROAD,,PRESCOT,,L35 5DR,19910401,,,,,,,,,,,0,,B
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,Y62,QYG,THOMAS DRIVE,,,LIVERPOOL,,L14 3PE,19910401,,,,,,,,,,,0,,B
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Y62,QYG,ALDER HEY HOSPITAL,EATON ROAD,WEST DERBY,LIVERPOOL,,L12 2AP,19910401,,,,,,,,,,,0,,B
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Y62,QYG,LEIGHTON HOSPITAL,LEIGHTON,,CREWE,,CW1 4QJ,19910401,,,,,,,,,,,0,,B
RBV,THE CHRISTIE NHS FOUNDATION TRUST,Y62,QOP,550 WILMSLOW ROAD,WITHINGTON,,MANCHESTER,,M20 4BX,19910401,,,,,,,,,,,0,,B
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,Y58,QJK,NORTH DEVON DISTRICT HOSPITAL,RALEIGH PARK,,BARNSTAPLE,,EX31 4JB,19910401,,,,,,,,,,,0,,K
RC1,BEDFORD HOSPITAL NHS TRUST,Y61,QHG,SOUTH WING,KEMPSTON ROAD,,BEDFORD,,MK42 9DJ,19920401,,,,,,,,,,,0,,G
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Y61,QHG,LEWSEY ROAD,,,LUTON,,LU4 0DZ,19920401,,,,,,,,,,,0,,G
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,Y63,QOQ,YORK HOSPITAL,WIGGINTON ROAD,,YORK,,YO31 8HE,19920401,,,,,,,,,,,0,,D
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Y63,QOQ,HARROGATE DISTRICT HOSPITAL,LANCASTER PARK ROAD,,HARROGATE,,HG2 7SX,19920401,,,,,,,,,,,0,,D
RCF,AIREDALE NHS FOUNDATION TRUST,Y63,QWO,AIREDALE GENERAL HOSPITAL,SKIPTON ROAD,STEETON,KEIGHLEY,,BD20 6TD,19920401,,,,,,,,,,,0,,D
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Y63,QF7,WESTERN BANK,,,SHEFFIELD,,S10 2TH,19920401,,,,,,,,,,,0,,D
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Y61,QMM,QUEEN ELIZABETH HOSPITAL,GAYTON ROAD,,KING'S LYNN,,PE30 4ET,19920401,,,,,,,,,,,0,,G
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Y58,QOX,COMBE PARK,,,BATH,,BA1 3NG,19920401,,,,,,,,,,,0,,K
RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,Y58,QVV,LONGFLEET ROAD,,,POOLE,,BH15 2JB,19920401,20200930,,,,,,,,,,0,,K
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Y61,QHG,STANDING WAY,EAGLESTONE,,MILTON KEYNES,,MK6 5LD,19920401,,,,,,,,,,,0,,G
